ACO_Name,ACO_ID,year,ACO_State,Sav_Rate,MaxShareRate,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_HHA,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,P_EDV_Vis,P_EDV_Vis_HOSP,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,GenSaveLoss,FinalShareRate,P_SNF_ADM,QualScore,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO45,ACO46,ACO8,ACO38,ACO43,QualityID318,QualityID_110,QualityID_226,QualityID_134_WI,QualityID_113,QualityID_112,QualityID_438,QualityID_370,QualityID_001_WI,QualityID_236_WI,N_AB,N_PCP,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Other,N_Ben_Race_Hisp,N_Ben_Race_Asian,N_Ben_Race_White
"TC2, LLC",A3365,2020,GA,5.38,,2845,2502,102,203,54,524,678,483,311,291,4,11,689,228,12300,5777,4391,13044357,0.48,60,96.88,^,^,^,^,^,^,^,^,^,^,~,~,1.39,97.22,85.88,98.15,85.88,77.57,82.81,94.04,38.46,12.5,71.71,21915,416,191,85,356,85,191,16195
South Texas ACO Clinical Partners LLC,A3367,2020,TX,9.43,,3406,2739,289,379,17,201,976,1271,321,288,11,19,682,237,13670,9260,3620,9595130,0.73,55,97.5,^,^,^,^,^,^,^,^,^,^,~,~,0.69,92.78,90.36,94.12,79.11,84.51,80.07,74.32,17.24,18.64,69.31,7488,94,28,2056,199,2056,28,5173
South Texas ACO Clinical Partners LLC,A3367,2021,TX,9.50,75.00%,"3,556","2,792",229,521,21,287,747,"1,173",312,276,8,25,696,225,"13,769","8,711","3,914","9,553,416",75.00%,52,96.85,,,,,,,,,,,,,,,84.82,96.43,81.12,90.57,73.72,78.87,42.42,13.4,70.91,"7,298",128,25,"1,919",191,"1,919",25,"5,130"
South Texas ACO Clinical Partners LLC,A3367,2019,TX,12.18,,4402,3350,478,570,19,219,687,1537,380,335,14,29,817,257,13553,8498,3989,14831697,0.58,48,97.0,88.18,93.87,92.91,86.11,62.57,63.6,69.75,28.48,89.77,84.07,14.77,54.36,1.75,96.84,80.3,95.65,77.69,80.69,82.66,77.08,19.12,14.12,70,7810,,29,2108,199,2108,29,5450
South Texas ACO Clinical Partners LLC,A3367,2018,"TX, OK",4.9078313,,4162,3199,320,629,33,221,655,1463,399,349,10,33,751,263,11491,5956,4772,11484584,0.6,49,100.0,91.54,95.63,95.67,86.53,62.74,67.41,73.45,35.57,,,15.21,61.82,2.65,90.91,80.39,76,72.79,73,75.92,74.9,14.29,16.26,71.53,17599,107,33,2418,300,2418,33,14469
AllCare Health Alliance,A3378,2018,NJ,2.0929162000000003,,3204,2863,58,189,118,112,793,446,309,292,1,9,826,229,10352,3646,5835,0,0.4765,60,95.3,81.08,95.63,93.22,77.41,59.39,60.77,74.08,23.32,,,15.13,62.89,2.19,88.14,64.29,64,88.09,70.8,71.3,72.92,0,19.77,70.29,10523,128,256,291,372,291,256,7947
AllCare Health Alliance,A3378,2019,NJ,0.73,,3591,3215,45,261,80,159,945,437,324,304,1,12,792,240,10950,3867,5920,0,0.46,69,92.17,80.79,93.99,91.48,79.76,58.99,59.84,74.55,24.01,92.82,86.37,15.27,64.27,1.9,86.91,72.61,66.67,87.93,70.6,74.85,81.95,5.56,15.71,78.32,9601,,1515,239,366,239,1515,7261
AllCare Health Alliance,A3378,2021,"NJ, PA",4.26,40.00%,"3,208","2,922",66,215,60,146,797,379,285,270,2,9,654,227,"10,484","3,694","5,643","4,887,976",40.00%,53,87.49,,,,,,,,,,,,,,,74.02,100,88.39,75.18,75.3,60.17,0,12.26,74.03,"9,827",190,235,237,390,237,235,"7,614"
AllCare Health Alliance,A3378,2020,NJ,2.2399999999999998,,3152,2876,37,170,87,144,950,417,306,291,1,8,663,244,9696,3546,5125,0,0.39,67,98.13,^,^,^,^,^,^,^,^,^,^,~,~,1.35,92.78,75.68,100,85.66,70.43,77.81,80,21.82,19.65,71.39,9385,150,229,247,359,247,229,7128
"Pacific Accountable Care, LLC",A3379,2019,CA,1.3,,3241,2954,46,191,86,283,703,655,223,209,1,7,646,165,10331,3629,4627,0,0.46,44,92.17,84.82,92.52,91.65,85.41,55.12,55.98,75.89,24.9,92.32,82.96,15.2,51.06,1.6,48.67,58.38,34.62,41.36,42.1,41.76,88.22,8.2,42.16,69.7,12558,,223,1659,703,1659,223,9586
"Pacific Accountable Care, LLC",A3379,2021,CA,4.19,40.00%,"2,787","2,503",64,191,68,700,945,744,206,193,1,8,540,163,"10,527","3,616","5,073","7,493,978",40.00%,59,78.98,,,,,,,,,,,,,,,55.39,57.14,33.59,47.36,42.69,79.07,14.52,19.9,63.46,"14,734",217,532,"1,477",812,"1,477",532,"11,608"
"Pacific Accountable Care, LLC",A3379,2020,CA,6.890000000000001,,2652,2344,33,178,102,510,732,715,195,180,1,7,528,147,9883,3117,4422,7022499,0.39,40,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.65,45.75,52.64,51.35,33.27,36.33,38.16,84.09,13.24,35.8,62.13,9354,144,297,1343,541,1343,297,6973
"Pacific Accountable Care, LLC",A3379,2018,"CA, GU",0.5697563,,3326,3113,31,153,60,266,720,677,230,217,1,6,602,168,9774,4094,4549,0,0.4713,48,94.26,83.43,93.5,91.68,82.67,50.57,58.62,74.05,25.97,,,14.57,54.86,1.61,46.17,61.12,25,39.89,27.77,35.53,83.72,5.26,20.75,75.47,10933,154,585,852,822,852,585,8495
Mercy Health Network ACO,A3380,2018,"IA, IL, WI",1.5123097,,2699,2509,45,134,25,298,697,237,267,256,1,7,643,179,9184,3687,3233,4933373,0.7072,62,94.3,84.88,94.63,93.84,81.71,58.12,59.44,75.27,23.66,,,13.78,53.08,1.71,97.34,85.71,94.29,84.92,76.46,79.62,80.57,4,9.39,79.41,35723,287,218,138,692,138,218,34210
MercyOne ACO III,A3380,2021,"IA, IL, WI",2.31,75.00%,"2,381","2,157",44,175,22,340,671,204,231,218,1,10,546,161,"9,136","3,301","3,218","8,157,285",75.00%,60,98.82,,,,,,,,,,,,,,,87.84,91.43,77.43,80.97,83.3,80.6,4.88,8.17,77.3,"35,708",336,178,94,931,94,178,"34,104"
MercyOne ACO III,A3380,2019,"IA, IL, WI",0.66,,2907,2626,77,199,27,338,753,242,276,261,2,10,633,186,9329,3695,3264,2166762,0.71,64,94.66,87.12,94.99,93.77,83.44,57.85,63.58,77.33,26.64,94.68,90.46,13.82,56.2,1.71,96.95,84.89,83.33,79.25,77.5,83.07,84.41,2.04,5.42,82.66,34119,,373,119,717,119,373,32726
MercyOne ACO III,A3380,2020,"IA, IL, WI",1.8399999999999999,,2483,2265,37,172,26,385,757,226,246,233,1,10,534,171,8258,3140,2914,6565150,0.73,63,97.19,^,^,^,^,^,^,^,^,^,^,~,~,0.9,92.76,83.6,88.24,78.51,78.25,82.04,85.02,2.13,8.97,74.7,39607,345,184,113,920,113,184,37907
"St Joseph's/Candler Advocate Health Network, LLC",A3383,2019,"GA, SC",-0.63,,2913,2308,111,478,48,260,407,401,279,242,4,28,646,176,11272,4423,5571,0,0.46,33,92.17,84.36,93.15,92.79,79.73,59.02,66.97,75.47,24.44,91.69,84.82,14.08,64.84,2.04,88.97,66.36,83.33,57.25,77.65,75.79,82.79,32.43,12.79,70.88,16850,,2496,39,429,39,2496,13781
"St Joseph's/Candler Advocate Health Network, LLC",A3383,2018,"GA, SC",-0.433108,,2749,2303,63,362,31,227,404,364,272,244,2,22,635,174,10621,3721,5574,0,0.4688,34,93.77,84.08,92.69,91.11,79.69,58.13,62.85,74.17,28.26,,,14.93,64.95,1.98,72.69,62.08,42.11,38.89,58.8,70.28,82.92,15.38,21.74,69.88,16799,111,89,43,384,43,89,13874
"Maury Regional Health Network, LLC",A3388,2018,TN,6.6101033000000005,,2751,2575,14,87,77,522,1167,560,307,292,0,5,694,221,10117,3518,4050,4268117,0.4762,96,95.23,90.46,93.93,93.11,84.21,51.3,63.12,75.21,21.89,,,14.74,60.38,1.93,65.35,74.35,45.83,37.8,65.08,74,82.95,0,12.1,65.48,6023,86,11,12,66,12,11,5574
"Maury Regional Health Network, LLC",A3388,2021,TN,2.82,40.00%,"2,433","2,235",39,113,63,524,"1,084",780,268,256,1,6,622,203,"9,704","1,028","3,514",0,40.00%,74,78.04,,,,,,,,,,,,,,,79.04,70.97,95.18,66.8,75.81,83.84,4.55,12,74.31,"6,418",100,6,14,66,14,6,"6,020"
"Maury Regional Health Network, LLC",A3388,2020,TN,-0.6799999999999999,,2610,2362,48,116,102,496,1124,724,274,257,1,6,584,196,9434,1318,3391,0,0.4,79,99.4,^,^,^,^,^,^,^,^,^,^,~,~,1.54,93.17,74.89,72,95.98,51.6,69.48,84.03,0,11.28,74.71,6725,98,7,11,78,11,7,6257
"Maury Regional Health Network, LLC",A3388,2019,TN,0.5,,3013,2794,24,82,121,406,1103,657,335,318,1,4,767,239,10417,2363,4019,0,0.46,91,92.17,86.42,94.57,92.58,81.61,50.96,62.81,73.32,30.1,94.15,89.85,15.16,66.49,3.0,73.56,65.81,63.33,86.29,56.8,72.27,72.92,3.7,12.4,70.2,7748,,459,16,81,16,459,7179
"CHESS Value, LLC",A3391,2019,"NC, VA",5.59,,2019,1851,38,102,45,123,475,395,214,202,1,5,591,145,9842,4458,3816,5099198,0.46,42,92.94,86.52,94,92.64,78.35,65.82,66.06,75.88,29.69,93.89,87.7,14.87,47.23,1.63,84.27,58.92,60,55.2,73.6,73.95,75.75,6.67,12.3,67.34,10316,,291,22,224,22,291,9745
"CHESS Value, LLC",A3391,2021,"NC, VA, FL, SC, TN",1.94,40.00%,"2,207","2,018",28,109,61,356,645,472,223,210,1,5,613,163,"9,883","3,064","3,730",0,40.00%,47,93.95,,,,,,,,,,,,,,,80.5,62.5,65.86,67.82,71.6,83.4,7.5,12.03,67.47,"15,419",294,151,115,383,115,151,"14,186"
"CHESS Value, LLC",A3391,2020,"NC, VA",5.16,,2083,1856,50,136,60,282,530,423,208,195,1,6,510,146,9259,3806,3429,4744045,0.39,41,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.94,87.45,68.26,50,55.42,72.62,70,72.77,3.57,11.65,68.48,10295,88,27,25,214,25,27,9744
"CHESS Value, LLC",A3391,2018,NC,5.0787977,,1706,1542,23,98,44,107,348,271,182,170,0,6,512,117,9250,3997,3843,2921958,0.4898,35,97.95,89.57,94.43,93.23,82.24,60.19,62.85,76.54,28.94,,,14.8,45.21,1.28,91.37,63.84,25,70.33,72.04,71.84,69.53,5.36,13.04,74.52,7267,48,27,17,169,17,27,6793
Prime Healthcare ACO II LLC,A3394,2018,"MI, KS, MO",-6.0230552,,4418,3989,81,324,66,131,752,528,441,416,2,14,817,322,9612,3947,4278,-9530860,0.456,74,91.19,86.09,93.66,92.33,84.0,54.06,64.64,73.98,32.4,,,15.85,81.14,2.36,35.56,58.26,59.46,34.27,44.19,53.01,79.33,11.43,16.77,76.33,14769,83,35,86,294,86,35,13489
Prime Healthcare ACO II LLC,A3394,2019,"MI, KS, MO",3.64,,3829,3452,66,263,74,164,647,496,384,361,1,13,771,281,9681,4158,4129,5833197,0.46,66,92.17,87.34,93.24,92.47,84.13,58.94,70.2,72.59,36.2,92.91,84.75,14.38,70.36,2.14,35.6,53.6,55.56,47.2,48.73,60.15,77.11,10.53,17.8,78.17,14361,,772,85,323,85,772,13129
"Emerald Coast ACO, LLC",A3396,2018,FL,0.9458810999999999,,2723,2454,58,176,39,266,877,710,293,276,2,10,685,229,12262,5333,5544,0,0.4634,75,92.67999999999999,76.87,91.02,90.33,81.26,53.31,60.32,73.17,18.45,,,15.38,55.5,1.99,96.92,85.88,11.11,7.09,86.74,77.11,55.01,100,17.88,64.03,7115,45,128,30,227,30,128,6410
"Emerald Coast ACO, LLC",A3396,2019,FL,3.3300000000000005,,2647,2427,47,163,23,449,787,637,279,265,1,8,667,218,13497,5878,5574,0,0.46,63,92.17,78.05,89.33,89.69,78.38,57.05,61.68,73.78,14.54,88.98,81.77,14.48,49.69,1.88,74.18,51.89,9.26,40.12,50.9,72.96,9.92,,21.52,62.1,6919,,330,34,241,34,330,6184
MercyOne ACO I,A3397,2021,"IA, NE, MO",-1.04,40.00%,"2,665","2,488",20,138,28,470,"1,486",168,239,229,1,7,667,65,"8,555",783,"2,254",0,40.00%,87,96.85,,,,,,,,,,,,,,,82.53,90.48,77.2,75.08,79.16,76.14,3.77,11.64,79.68,"25,184",803,35,49,431,49,35,"24,612"
MercyOne ACO I,A3397,2019,"IA, NE",-5.86,,3242,3070,68,101,36,397,1595,152,273,263,2,5,685,57,8407,997,2138,-17281653,0.46,85,92.17,86.66,95.15,92.37,82.49,55.76,61.35,76.23,22.63,94.59,87.68,14.16,56.91,2.3,92.88,89.66,46.67,82.59,77.17,79.94,78.95,10.53,8.44,78.93,26777,,30,51,417,51,30,26223
Mercy Rural ACO,A3397,2018,"IA, NE",-3.7837147,,3293,3124,56,96,37,376,1764,191,293,284,1,4,749,55,8659,1198,2272,-9361139,0.4897,101,97.94,88.45,93.51,92.06,79.94,58.42,63.09,75.68,25.09,,,13.59,53.7,2.49,95.3,89.31,86.96,82.41,71.16,82.42,80.75,10,10.51,79.56,21473,859,27,41,321,41,27,21038
MercyOne ACO I,A3397,2020,"IA, NE",-1.78,,2668,2546,27,86,24,466,1684,162,249,241,1,4,594,58,7466,864,1944,0,0.39,94,96.87,^,^,^,^,^,^,^,^,^,^,~,~,1.33,86.18,85.78,68,75.33,76.03,85.42,76.9,11.29,6.41,82.1,24823,782,27,43,390,43,27,24311
MHN Partners ACO,A3399,2019,IA,6.16,,2607,2342,69,154,64,416,637,153,245,228,1,9,641,147,9137,3396,3490,4030471,0.48,65,96.81,87.48,95.57,93.33,81.03,65.2,60.2,74.48,28.82,94.13,89.26,14.26,47.88,1.53,98.52,81.64,88.89,95.29,82.21,80.8,86.6,0,7.17,78.49,6206,,123,5,162,5,123,5889
MHN Partners ACO,A3399,2018,IA,5.6759494,,2559,2342,62,141,40,392,651,165,273,256,1,8,699,168,9071,3455,3496,3773123,0.4845,72,96.91,87.14,95.64,94.21,80.52,62.52,59.0,75.34,24.18,,,15.04,53.94,2.18,98.78,79.93,94.44,95.84,86.75,80.4,81.63,100,10.08,76.01,6567,65,27,13,149,13,27,6208
"MUSC Health Alliance, LLC",A3442,2021,SC,-1.94,75.00%,"2,961","2,493",95,364,44,322,376,539,285,258,3,19,707,202,"10,542","3,190","4,646","-4,203,702",75.00%,29,89.62,,,,,,,,,,,,,,,91.08,87.88,97.72,73.22,80.6,84.76,14.29,10.46,73.85,"19,986",355,100,39,542,39,100,"15,225"
"MUSC Health Alliance, LLC",A3442,2020,SC,1.78,,2858,2477,96,292,45,345,381,499,283,260,2,15,675,202,9229,2997,4105,3519114,0.73,31,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.92,95.3,94.86,87.5,91.65,62.63,74.52,84.48,N/A,15.21,66.48,18786,323,83,40,513,40,83,13884
"MUSC Health Alliance, LLC",A3442,2019,SC,0.8,,3216,2812,65,290,71,244,438,529,319,297,2,13,861,220,9964,3308,4684,1248045,0.74,40,98.09,87.48,94.09,93.67,84.4,62.97,63.79,75.75,23.06,93.75,88.87,14.89,60.03,1.63,98.67,96.69,100,93.58,67.01,77.26,87.94,0,15.46,69.74,13438,,3088,27,405,27,3088,9839
"MUSC Health Alliance, LLC",A3442,2018,SC,-0.6542742,,3295,2964,71,226,74,286,475,499,322,300,2,12,845,227,9542,3263,4540,-977071,0.7037,43,93.83,85.36,95.02,92.24,77.55,54.82,58.05,74.24,22.11,,,15.08,62.61,1.46,96.24,98.52,34.09,88.41,43.44,68.95,87.18,20,18.1,65.8,13371,238,77,28,352,28,77,9652
"Caribbean Accountable Care, LLC",A3446,2018,PR,3.9020436999999997,,1577,1434,35,127,7,138,92,196,245,231,1,10,602,176,10462,4916,5424,1402659,0.6951,8,92.67999999999999,91.76,97.05,96.08,80.75,51.99,61.69,63.18,37.73,,,15.26,46.78,1.84,38.31,25.67,95,26.31,62.55,62.36,79.84,0,25.31,86.29,6014,477,3,760,231,760,3,4756
Care is Primary ACO LLC,A3451,2019,"PA, NJ",8.95,,2781,2465,64,173,118,175,643,441,251,234,1,7,547,184,10782,4880,4960,9205249,0.46,57,92.17,86.99,94.18,92.85,79.8,67.2,60.46,75.11,30.54,92.38,87.23,14.84,53.83,2.11,78.73,79.78,72.73,83.15,73.4,76.62,78.47,6.19,14.33,82.11,9409,,1346,44,419,44,1346,7226
Care is Primary ACO LLC,A3451,2018,"PA, NJ",3.1620137,,2835,2414,39,204,202,245,671,483,268,244,1,8,607,202,10119,4185,5098,4535236,0.4868,57,97.36,87.8,95.28,93.41,81.5,66.03,64.8,74.39,27.88,,,15.27,60.81,2.01,76.45,74.04,63.16,77.59,73.88,74.91,85.66,2.2,16.85,79.56,13817,71,431,80,610,80,431,10937
"Crystal Run Healthcare ACO, LLC",A3452,2020,"NY, PA",3.5900000000000003,,3412,3046,46,298,69,185,1204,368,277,258,1,11,566,225,11873,3146,6993,6171296,0.39,51,96.87,^,^,^,^,^,^,^,^,^,^,~,~,1.11,60.68,68.18,90.32,31.7,73.37,76.05,83.66,2.38,15.94,63.35,14672,123,155,322,620,322,155,12504
"Crystal Run Healthcare ACO, LLC",A3452,2018,"NY, PA",2.8726281,,4303,3869,35,327,126,167,1706,337,362,338,1,14,708,282,12574,3595,7601,6234378,0.4505,88,90.10000000000001,81.85,92.5,92.57,77.64,57.41,56.59,73.74,13.29,,,15.63,71.49,2.29,60.91,74.04,92.66,61.21,69.43,71.22,81.18,1.59,13.45,71.03,16630,152,175,383,636,383,175,14225
"Crystal Run Healthcare ACO, LLC",A3452,2021,"NY, PA, FL, NJ",2.47,40.00%,"3,691","3,325",36,306,48,240,"1,391",384,292,275,1,13,634,242,"13,206","3,286","7,721",0,40.00%,58,80.03,,,,,,,,,,,,,,,81.52,62.26,36.55,77.52,75.85,87.75,7.41,17.07,68.22,"14,175",121,156,300,606,300,156,"12,075"
"Crystal Run Healthcare ACO, LLC",A3452,2019,"NY, PA",2.59,,4175,3780,43,295,81,163,1199,353,334,315,1,12,691,254,12624,3394,7706,0,0.46,65,92.17,78.94,90.89,91.81,77.9,58.08,53.59,72.89,13.67,87.31,82.53,15.53,69.24,2.2,61.08,77.66,84.72,46.52,72.61,73.75,80.23,1.47,16.29,76.12,16054,,1179,372,681,372,1179,13624
Trinity Health Integrated Care,A3454,2021,"NY, PA, FL, IN, ID, OR, MI",3.48,75.00%,"2,805","2,486",24,269,50,313,705,515,271,254,1,12,601,207,"10,789","3,635","4,985","25,559,424",75.00%,55,89.95,,,,,,,,,,,,,,,84.46,93.02,71.6,80.14,80.76,87.65,8.96,9.83,76.21,"65,619",947,560,476,"2,374",476,560,"58,665"
Trinity Health Integrated Care,A3454,2019,"NY, PA, IN, ID, OR",2.92,,3426,3094,45,217,97,294,814,527,323,303,1,10,723,234,10369,3581,4460,19848749,0.69,70,92.17,82.54,90.89,90.29,80.61,58.42,63.2,72.44,19.45,92.19,85.08,15.57,65.0,1.88,91.89,80.48,89.09,72.5,77.59,80.7,86.09,7.94,13.69,75.17,59693,,3922,416,1839,416,3922,52810
Trinity Health Integrated Care,A3454,2020,"NY, PA, FL, IN, ID, OR",3.8,,2877,2571,39,244,52,329,722,533,268,251,1,11,567,201,9922,3389,4564,29266697,0.73,55,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.94,83.73,75.82,82.93,66.67,81.79,83.42,83.47,10.26,14.41,76.46,72956,918,661,555,2446,555,661,64924
Trinity Health Integrated Care,A3454,2018,"NY, PA, IN, ID",3.9195065000000002,,3263,2962,51,211,67,281,833,529,327,309,1,10,747,240,9952,3433,4528,26149841,0.731,72,97.47,87.42,95.2,93.22,82.33,60.42,65.42,74.97,26.96,,,15.6,63.8,2.12,81.82,82.69,80.77,63.3,77.33,80.27,82.39,6,17.11,70.79,59974,721,643,408,1765,408,643,53115
Pennsylvania 2018 ACO,A3457,2018,PA,1.1437941,,2497,2204,92,178,37,123,480,413,225,212,2,8,432,164,10081,4670,4937,0,0.4955,43,99.09,90.5,95.82,95.15,80.98,73.48,62.44,76.44,25.19,,,14.98,54.29,1.66,98.15,90.79,94.12,85.26,94.15,93.19,80.5,0,7.94,86.12,7712,31,58,23,292,23,58,7012
PA MSSP Legacy + Gateway Enhanced,A3457,2021,"PA, OH",11.62,75.00%,"2,363","2,067",31,243,48,184,419,416,215,201,1,11,429,161,"11,350","5,437","4,600","23,665,709",75.00%,38,100.00,,,,,,,,,,,,,,,90.19,100,89.91,90.62,86.79,86.06,28,10.16,83.71,"18,832",78,299,37,846,37,299,"16,718"
Pennsylvania 2018 ACO,A3457,2019,"PA, OH",-1.51,,4000,3494,143,351,65,375,882,589,342,315,4,17,752,198,10473,4715,3558,0,0.46,71,92.17,87.68,94.47,92.5,84.12,59.99,64.82,70.94,29.98,92.69,87.04,14.72,59.14,2.09,78.57,73.88,78.05,77.42,72.05,77.4,82.39,24.39,18.99,77.02,6805,,244,21,156,21,244,6377
PA MSSP Legacy + Gateway,A3457,2020,"PA, OH",4.64,,3004,2535,40,376,83,446,878,557,280,252,2,19,579,171,10098,4849,3034,2961611,0.75,65,100.0,^,^,^,^,^,^,^,^,^,^,~,~,0.8,85.53,80.97,90,82.15,74.77,72.73,83.54,25,14.38,73.65,5965,117,7,7,133,7,7,5651
Pennsylvania PMA 2017 ACO,A3458,2018,PA,16.4435805,,3407,2901,71,345,122,132,651,520,318,289,3,16,629,235,9395,3763,5212,15485230,0.4945,55,98.91,87.18,93.63,93.01,81.55,65.55,60.05,73.17,28.57,,,14.82,62.85,2.67,92.55,65.06,56.25,87.46,68.11,67.39,80.12,9.09,18.18,76.47,7525,34,69,13,258,13,69,6769
AR MI UT MSSP Enhanced,A3458,2021,"UT, AR, MI",9.27,75.00%,"2,328","1,946",38,316,46,252,428,414,212,188,2,17,490,137,"9,958","4,997","3,144","34,377,030",75.00%,35,95.97,,,,,,,,,,,,,,,79.87,76,67.84,73.07,67.92,78.45,13.56,8.83,75.32,"36,715",238,248,264,971,264,248,"33,838"
Pennsylvania PMA 2017 ACO,A3458,2019,PA,14.84,,3134,2663,125,297,89,135,592,496,288,265,2,14,581,215,9648,3817,5279,12560463,0.46,54,92.17,88.37,95.13,93.1,83.61,64.32,56.03,73.94,29.95,91.67,86.86,15.03,59.26,2.12,91.98,78.27,46.34,89.25,68.21,74.61,81.58,18.68,25.24,80.71,7011,,364,12,248,12,364,6331
AR MI UT MSSP,A3458,2020,PA,12.98,,2705,2303,39,323,68,162,440,482,255,234,1,14,467,195,8402,3238,4588,9175117,0.73,38,96.87,^,^,^,^,^,^,^,^,^,^,~,~,1.14,91.05,79.81,25,85.85,77.54,72.76,80.47,19.12,22.88,73.1,6819,28,45,11,262,11,45,6152
"NM Care ACO, LLC",A3462,2019,NM,-1.8499999999999999,,2343,2009,67,277,33,189,347,441,218,198,1,15,549,145,8495,2840,3427,0,0.46,33,92.17,74.05,90.23,89.89,69.89,52.15,56.88,73.27,17.51,91.58,78.87,14.87,47.38,1.32,33.17,76.97,22.81,36.11,70.54,76.01,76.4,0,16.09,77.09,6994,,165,247,300,247,165,6146
"NM Care ACO, LLC",A3462,2018,NM,-2.8072920000000003,,2329,2001,37,241,54,154,338,377,223,201,1,14,557,147,8156,2816,3431,0,0.438,34,87.6,71.89,88.1,88.02,70.27,48.26,54.97,70.57,14.55,,,14.9,46.85,1.46,51.8,73.53,42.86,55.83,73.8,81.38,73.03,0,14.29,73.71,7328,73,59,274,280,274,59,6454
Onslow Partners in Care,A3464,2019,"NC, SC",6.03,,2786,2599,82,92,35,125,399,410,259,248,2,4,776,178,11780,5119,4430,2820734,0.46,36,92.56,82.94,94.53,91.49,82.95,58.36,59.49,70.39,20.64,91.72,85.34,14.86,56.79,1.93,77.99,70.98,67.44,31.91,58.8,57.71,90.8,6.45,22.58,68.58,4657,,724,59,108,59,724,3681
Onslow Partners in Care,A3464,2018,"NC, SC",5.2869439,,2900,2703,43,94,64,80,388,373,281,267,1,5,796,195,11415,5130,4406,2218400,0.4929,38,98.58,87.17,94.3,91.34,85.86,62.11,66.07,73.03,25.25,,,15.14,62.73,1.62,69.6,54.55,56.1,43.5,60.89,54.03,85.43,2.86,25,67.87,4420,43,76,62,103,62,76,3510
"Louisiana Primary Care Accountable Care Organization, LLC",A3466,2020,LA,10.42,,2783,1831,322,278,359,85,374,754,293,215,12,16,981,186,8703,609,2895,10271855,0.48,26,96.87,^,^,^,^,^,^,^,^,^,^,~,~,1.11,68.69,59.92,75.95,84.78,61.74,67.96,86.25,26.76,21.78,56.9,10277,140,133,115,214,115,133,4653
"Louisiana Primary Care Accountable Care Organization, LLC",A3466,2019,LA,5.64,,3123,2106,338,273,444,107,469,639,324,239,13,15,1175,195,8918,716,3151,5897692,0.49,32,98.5,83.28,91.69,89.95,80.67,58.46,59.3,71.27,34.45,88.86,85.41,14.65,54.18,1.72,47.81,44.78,77.78,88.18,54.35,60.06,84.08,21.92,19.93,60.14,10536,,5566,114,237,114,5566,4464
"Louisiana Primary Care Accountable Care Organization, LLC",A3466,2018,LA,0.4568271,,3613,2447,319,349,504,79,360,741,366,268,12,19,1354,229,7920,531,2831,0,0.4544,32,90.88000000000001,82.02,94.2,92.59,75.29,56.93,65.21,75.08,32.52,,,15.53,54.68,2.24,34.38,31.82,60.34,72.97,32.82,60.49,85.53,14.29,21.12,54.28,4181,144,75,68,95,68,75,1151
"Louisiana Primary Care Accountable Care Organization, LLC",A3466,2021,LA,8.48,50.00%,"2,836","1,818",331,340,376,149,365,687,291,211,11,17,978,184,"9,212",544,"3,018","7,721,304",50.00%,24,85.79,,,,,,,,,,,,,,,62.04,71.21,80.22,57.28,62.46,86.3,13.58,18.37,60,"9,218",137,110,97,225,97,110,"4,476"
Affirmant Health Partners,A3470,2020,MI,3.55,,2751,2457,55,188,77,210,472,369,263,244,2,10,650,185,8027,2767,2927,22901573,0.39,41,98.13,^,^,^,^,^,^,^,^,^,^,~,~,0.77,90.8,82.59,85.71,63.39,74.19,74.6,85.71,10.28,12.1,75.4,67811,1556,225,259,1968,259,225,62335
"Federation ACO, LLC",A3470,2018,MI,4.8319488,,3110,2794,73,172,95,198,559,425,307,286,2,9,746,214,9048,3486,3511,36573064,0.4859,54,97.19,84.63,91.69,90.85,78.99,59.51,61.72,73.26,24.54,,,15.03,59.41,1.69,84.92,69.82,46.15,50,71.89,75.1,81.86,8.93,16.13,68.15,74380,1355,234,261,1956,261,234,68257
"Federation ACO, LLC",A3470,2019,MI,7.960000000000001,,3163,2864,72,172,83,214,561,402,301,281,2,9,756,202,8970,3137,3310,69483471,0.48,51,96.5,83.35,93.43,91.78,79.14,58.36,64.48,72.23,24.54,93.21,85.92,14.4,57.83,1.53,86.69,74.09,75.86,63.01,70.56,75.4,78.28,11.49,12.9,74.19,80407,,3644,313,2208,313,3644,73899
Affirmant Health Partners,A3470,2021,MI,2.83,40.00%,"2,811","2,472",54,220,87,236,472,373,268,248,2,11,683,192,"8,794","2,876","3,296","19,153,391",40.00%,42,92.46,,,,,,,,,,,,,,,83.33,75,73.79,79.03,80.24,85.59,12.93,10.89,75.4,"65,506","1,624",257,267,"2,055",267,257,"60,183"
